Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CreditCardTestSuite,Chrome 88.0.4324.146,,,2021-02-06 12:26:32,2021-02-06 12:26:56,23.814s,PASSED
,,,,,,,
Test Cases/Test/TC-01,Chrome 88.0.4324.146,,,2021-02-06 12:26:33,2021-02-06 12:26:45,11.818s,PASSED
"runFeatureFile(""Include/features/BDD/SuccessTransaction.feature"")",Chrome 88.0.4324.146,,,2021-02-06 12:26:33,2021-02-06 12:26:45,11.576s,PASSED
,,,,,,,
Test Cases/Test/TC-02,Chrome 88.0.4324.146,,,2021-02-06 12:26:45,2021-02-06 12:26:56,11.535s,PASSED
"runFeatureFile(""Include/features/BDD/UnsuccessfullTransaction.feature"")",Chrome 88.0.4324.146,,,2021-02-06 12:26:45,2021-02-06 12:26:56,11.392s,PASSED
