Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CreditCardTestSuite,Chrome 88.0.4324.146,,,2021-02-06 12:18:31,2021-02-06 12:18:56,24.822s,PASSED
,,,,,,,
Test Cases/Test/TC-01,Chrome 88.0.4324.146,,,2021-02-06 12:18:31,2021-02-06 12:18:45,14.063s,PASSED
"runFeatureFile(""Include/features/BDD/SuccessTransaction.feature"")",Chrome 88.0.4324.146,,,2021-02-06 12:18:31,2021-02-06 12:18:45,13.816s,PASSED
,,,,,,,
Test Cases/Test/TC-02,Chrome 88.0.4324.146,,,2021-02-06 12:18:45,2021-02-06 12:18:56,10.274s,PASSED
"runFeatureFile(""Include/features/BDD/UnsuccessfullTransaction.feature"")",Chrome 88.0.4324.146,,,2021-02-06 12:18:45,2021-02-06 12:18:55,10.123s,PASSED
