Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CreditCardTestSuite,Chrome 88.0.4324.146,,,2021-02-06 02:24:13,2021-02-06 02:24:33,19.931s,PASSED
,,,,,,,
Test Cases/Test/TC-01,Chrome 88.0.4324.146,,,2021-02-06 02:24:14,2021-02-06 02:24:24,10.582s,PASSED
"runFeatureFile(""Include/features/BDD/SuccessTransaction.feature"")",Chrome 88.0.4324.146,,,2021-02-06 02:24:14,2021-02-06 02:24:24,10.358s,PASSED
,,,,,,,
Test Cases/Test/TC-02,Chrome 88.0.4324.146,,,2021-02-06 02:24:24,2021-02-06 02:24:33,8.921s,PASSED
"runFeatureFile(""Include/features/BDD/UnsuccessfullTransaction.feature"")",Chrome 88.0.4324.146,,,2021-02-06 02:24:24,2021-02-06 02:24:33,8.791s,PASSED
